City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,mittagong,-34.45,150.45,15.55,99,29,1.11,AU,1673722183
299,poquoson,37.1224,-76.3458,3.35,70,100,6.69,US,1673722183
300,korla,41.7597,86.1469,-12.41,95,100,0.64,CN,1673722183
301,orocue,4.7912,-71.3354,34.79,34,88,4.58,CO,1673722184
302,salalah,17.0151,54.0924,25.05,69,75,3.09,OM,1673722185
303,thinadhoo,0.5333,72.9333,26.93,67,100,5.53,MV,1673722185
304,puri,19.8,85.85,21.29,81,0,4.43,IN,1673722185
305,antofagasta,-23.65,-70.4,21.6,70,26,4.15,CL,1673722186
306,westport,41.1415,-73.3579,1.99,69,100,4.63,US,1673721926
307,onega,63.9061,38.1404,-0.24,98,100,4.03,RU,1673722186
308,kjollefjord,70.9457,27.3465,-0.97,80,100,7.5,NO,1673722186
309,erenhot,43.6475,111.9767,-15.38,82,30,7.62,CN,1673722187
310,moberly,39.4184,-92.4382,3.01,61,0,6.17,US,1673722187
311,gornopravdinsk,60.05,69.9,-12.74,97,96,2.72,RU,1673722188
312,ouesso,1.6136,16.0517,25.79,30,16,0.63,CG,1673722188
313,solnechnyy,50.7214,136.6319,-29.46,98,43,1.77,RU,1673722189
314,namibe,-15.1961,12.1522,23.17,80,22,5.17,AO,1673722189
315,ahuimanu,21.4447,-157.8378,23.77,80,20,1.54,US,1673722189
316,mar del plata,-38.0023,-57.5575,26.02,68,0,5.14,AR,1673722190
317,asau,46.4333,26.4,-0.4,95,74,0.64,RO,1673722190
318,nikolskoye,59.7035,30.7861,1.94,95,100,5.72,RU,1673722190
319,les escoumins,48.1111,-69.0236,-8.36,87,100,5.13,CA,1673722191
320,lakeway,30.3638,-97.9796,17.82,30,0,4.92,US,1673722191
321,kamaishi,39.2667,141.8833,4.94,93,100,3.03,JP,1673722191
322,dinar,38.065,30.1656,2.98,69,100,1.05,TR,1673722192
323,coahuayana,18.7333,-103.6833,31.73,40,0,3.06,MX,1673722192
324,lompoc,34.6391,-120.4579,14.88,96,100,5.66,US,1673722192
325,iquique,-20.2208,-70.1431,24.02,63,2,3.15,CL,1673722193
326,angoche,-16.2325,39.9086,26.37,81,100,2.46,MZ,1673722193
327,skjervoy,70.0311,20.9714,0.0,65,33,9.86,NO,1673722193
328,tubmanburg,6.8708,-10.8172,26.19,70,60,2.63,LR,1673722194
329,coolum beach,-26.5333,153.1,22.82,81,98,4.2,AU,1673722194
330,port moresby,-9.4431,147.1797,24.5,88,100,1.96,PG,1673722195
331,bud,39.447,-86.1758,0.19,77,2,2.72,US,1673722195
332,peniche,39.3558,-9.3811,14.2,94,79,3.89,PT,1673722195
333,tateyama,34.9833,139.8667,12.83,84,84,7.34,JP,1673722196
334,atasu,48.6814,71.6433,-19.95,94,98,4.03,KZ,1673722196
335,oriximina,-1.7656,-55.8661,27.17,75,100,1.65,BR,1673722196
336,sur,22.5667,59.5289,19.44,51,0,6.35,OM,1673722197
337,inverell,-29.7833,151.1167,15.37,89,0,1.53,AU,1673722197
338,karabanovo,56.3167,38.7,-3.77,93,100,5.31,RU,1673722197
339,champerico,14.3,-91.9167,32.3,56,4,4.01,GT,1673722198
340,aswan,24.0934,32.907,17.61,36,0,2.57,EG,1673722198
341,black river,18.0264,-77.8487,29.43,46,4,5.46,JM,1673722198
342,waingapu,-9.6567,120.2641,25.79,84,95,3.02,ID,1673722199
343,brae,60.3964,-1.353,5.26,82,100,12.14,GB,1673722199
344,yueyang,29.3333,113.0919,-0.26,93,100,9.19,CN,1673722199
345,zhireken,52.8249,117.3076,-31.31,100,89,1.03,RU,1673722200
346,gamba,-2.65,10.0,26.01,81,100,1.41,GA,1673722200
347,chabahar,25.2919,60.643,16.71,29,0,0.96,IR,1673722201
348,hengyang,26.8881,112.615,2.67,75,100,5.19,CN,1673722201
349,zhigansk,66.7697,123.3711,-53.48,99,91,1.76,RU,1673722201
350,cesme,38.3228,26.3064,12.89,70,100,2.64,TR,1673722202
351,gandzak,40.3147,45.1114,-5.73,67,76,2.78,AM,1673722202
352,rovaniemi,66.5,25.7167,-2.33,93,100,2.06,FI,1673722203
353,isla mujeres,21.2311,-86.731,23.98,55,47,6.51,MX,1673722203
354,santa maria,-29.6842,-53.8069,25.61,61,75,0.51,BR,1673722204
355,ucluelet,48.9329,-125.5528,10.05,94,100,4.4,CA,1673722204
356,jimo,36.3897,120.4622,-5.12,63,0,8.0,CN,1673722205
357,lebu,-37.6167,-73.65,16.33,65,100,7.87,CL,1673722095
358,coihaique,-45.5752,-72.0662,19.34,39,20,3.09,CL,1673722205
359,dakar,14.6937,-17.4441,30.49,47,0,2.06,SN,1673722206
360,broome,42.2506,-75.833,-3.88,83,100,5.66,US,1673722206
361,hirara,24.8,125.2833,22.92,85,88,4.68,JP,1673722207
362,ribeira grande,38.5167,-28.7,13.22,62,40,7.6,PT,1673722207
363,geraldton,-28.7667,114.6,18.23,82,0,3.6,AU,1673722207
364,husavik,66.0449,-17.3389,-7.38,70,100,3.29,IS,1673722208
365,matara,5.9485,80.5353,23.33,91,71,1.53,LK,1673722208
